Table,FeedColumnName,OdsColumnName,DataType,NullIfEmpty,NullAllowed,Format,DefaultValue
SACCR_Report_OSFI_BFG_NEW,CLTRL_REF,CLTRL_REF,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SACCR_NETG_SET_ID,SACCR_NETG_SET_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CLTRL_SET_ID,CLTRL_SET_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,MRGN_IND,MRGN_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,NOTIONAL,NOTIONAL,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,NOTIONAL_CCY,NOTIONAL_CCY,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,MTM,MTM,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,MTM_CCY,MTM_CCY,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CVA_LOSS,CVA_LOSS,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,TRADE_DT,TRADE_DT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,MAT_DT,MAT_DT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,MAT_IN_DAYS,MAT_IN_DAYS,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,UNDERLYING_CUSIP,UNDERLYING_CUSIP,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,UNDERLYING_ISIN,UNDERLYING_ISIN,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,UNDERLYING_ISSUER,UNDERLYING_ISSUER,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SA_NOTIONAL,SA_NOTIONAL,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,EFF_NOTIONAL,EFF_NOTIONAL,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SACCR_ASSET_CLASS,SACCR_ASSET_CLASS,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SUPVSRY_FACTOR,SUPVSRY_FACTOR,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,ALLOCATED_VM,ALLOCATED_VM,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,ALLOCATED_NICA,ALLOCATED_NICA,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,RC,RC,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,PFE,PFE,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,RC_LR,RC_LR,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,PFE_LR,PFE_LR,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,EAD,EAD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,EAD_LR,EAD_LR,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,EFF_MAT,EFF_MAT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,OSFI_EXPOSURE_TYPE,OSFI_EXPOSURE_TYPE,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CVA_CPTL_EXMPTN_IND,CVA_CPTL_EXMPTN_IND,String,N,N,,
